poem_name,poet_name,poem_text,rank
Büyük İnsanlık...,Nazım Hikmet Ran,"Büyük insanlık gemide güverte yolcusu
tirende üçüncü mevki
şosede yayan
büyük insanlık.
Büyük insanlık sekizinde işe gider
yirmisinde....................",420
Altın Dişlim,Orhan Veli Kanık,"Gel benim canimin içi, gel yanima;
Ipek çoraplar alayim sana;
Taksilere bindireyim,
Çalgilara götüreyim seni.
Gel,
Gel benim altin dislim;
Sürmelim, ondüle saçlim, yosmam;
Mantar topuklum, bopsitilim, gel.",421
Sisler Bulvarı,Attila İlhan,"elinin arkasında güneş duruyordu
aylardan kasımdı üşüyorduk
ağacın biri bulvarda ölüyordu
şehrin camları kaygısız gülüyordu
her köşe başında öpüşüyorduk
sisler bulvarı'na akşam çökmüştü
omuzlarımıza çoktan çökmüştü
kesik birer kol gibi yalnızdık
dağlarda ateşler yanmıyordu
deniz fenerleri sönmüştü
birbirimizin gözlerini arıyorduk
sisler bulvarı'nda seni kaybettim
sokak lambaları öksürüyordu
yukarda bulutlar yürüyordu
terkedilmiş bir çocuk gibiydim
dokunsanız ağlayacaktım
yenikapı'da bir tren vardı
sisler bulvarı'nda öleceğim
sol kasığımdan vuracaklar
bulvar durağında düşeceğim
gözlüklerim kırılacaklar
sen rüyası....................",422
Cânan Yurdu,Mehmet Akif Ersoy,"Eyvâh, ıssız diyâr-ı dilber... 
Her hatvesi bir mezâr-ı muğber! 
Uçmuş da bakındığım terâne, 
Kalmış sessiz bir âşiyâne. 
Yer yer medfun durur emeller... 
Gûyâ ki kıyâm-ı haşri bekler! 
Yâ Rab! Niye böyle bir yığın hâk 
Olmuş yatıyor o buk’a-i pâk? 
Yâ Rab, ne için o lem’a nâbûd? 
Yâ Rab, ne için bu sâye memdûd? 
Yâ Rab, ne demek harîm-i cânan 
Üstünde bu perde perde hicran? 
Lâkin görünen kimin hayâli? 
Cânan gibi tıpkı yâl ü bâli... 
Gîsû-yi siyâh-ı târumârı, 
Altında cebîn-i lem’a-dârı, 
Zulmetler içinde subh-i mahmûr; 
Yâ gözbebeğinde nazra-i nûr; 
Yâ ebr-i bahâr içinde cevvâl 
Bâran şeklinde dürr-i seyyâl; 
Yâ sînede her zaman coşan yâd, 
Yâ kayd-i bedende rûh-i âzâd. 
Ey tayf-ı nigeh-firîbi yârın, 
Olmaz mı bir ân için karârın? 
Heyhât, serâb-ı şavka döndün... 
Karşımda parıldamanla söndün! 
Kimden sorayım ki nerde dilber? 
Makber gibi samt içinde her yer. 
Cânan! Cânan! ... dedim, arandım... 
«Bir aks-i nidâ» dedikçe, yandım! 
Yâ Rab, niye hem sağır, hem ebkem,
Dağlar, dereler, bütün şu âlem? 
Ey sevdiğimin sevimli yurdu, 
Hâlin bana şimdi pek dokundu! 
Aç sîneni; yâd-ı nükhetinden 
Bir şemmeye kàilim bugün ben. 
Bir vakt o şemîm-i nâz-perver 
Tâ subha kadar yanımda bekler, 
-Ümmîde verip bekà sabûhu- 
Sermest-i safâ ederdi rûhu. 
Heyhât o nesîm-i sâf şimdi 
Nâzan nâzan semâya gitti. 
Ey lâne-i târumâr söyle, 
Cânan sana artık inmiyor mu? 
Ey mâtem-i pâyidâr söyle, 
Sâhandaki nevha dinmiyor mu? 
Ey ebr-i semâ-güzîn-i seyyâr, 
Yâdında mıdır o nazlı reftâr? 
Ey darbe-i bâda karşı, ra’şân, 
İnşâd-ı enîn eden nihâlân! 
Bir şi’r-i revân olup da cânan, 
Geçmez mi bu gölgeden hırâman? 
Ey dilber-i mihriban, zuhûr et! 
Ömrüm gibi ansızın mürûr et! 
Yâ kalb-i fezâya bir hutûr et: 
Âfâkımı lem’a lem’a nûr et. 
Bin nevha-i cân içimde pür-cûş, 
Geldim bu garîb yurda, medhûş. 
Feryâdımı yok mu eyleyen gûş? 
Yâ Rab, bu nasıl cihân-ı hâmûş: 
Bir «yok! » diyecek sadâ da yokmuş! ...",423
Beyaz Maşlahlı Hanım,Orhan Veli Kanık,"Kalender'den sandala bindi
Beyaz maşlahlı hanım
Bir elinde şemsiye
Bir eliyle açtı yelpazesini
Cuma günü Göksu'ya gitti
Beyaz maşlahlı hanım",424
Çocuklar Ölebilir Yarın,Nazım Hikmet Ran,"Çocuklar ölebilir yarın, 
hem de ne sıtmadan ne kuşpalazından 
düşerek te değil kuyulara filân; 
çocuklar ölebilir yarı....................",425
Ben Bir Kadınım,Yusuf Hayaloğlu,"Kavrulur şu kanlı gözlerimde günler
    Akşamdan bir sancıyla
    Koklanmış bir gül gibi hayallerim ayak altında
    Yol vermez yol vermez ağlamaya gururum
    Yılların aynasında 
    Horlanmış vücudumda memelerim derin acıda
    Ben bir kadınım ben bir insan
    Taşırım karnımda paramparça can
    Bir yanımda cevahir, bir yanımda kan
    Bir yanım şiir destan, bir yanım kirli fistan
    Bir yanım güller açmış, bir yanım viran
    Savrulur şu tozlu saçlarımda rüzgar
    Çıldırtan bir hışımla
    Saklanmış bir sır gibi, şiirleri ateş hattında
    Dayanmaz dayanmaz bu baskıya yürürüm
    Sabrımın bir anında
    Elimin hamuruyla çeker giderim
    Canım burnumda
    Ben bir kadınım ben bir insan
    Taşırım karnımda paramparça can
    Bir yanımda cevahir, bir yanımda kan
    Bir yanım şiir destan, bir yanım kirli fistan
    Bir yanım güller açmış, bir yanım viran
    Yusuf Hayaloğlu",426
Edirne,Mehmet Akif Ersoy,"Edirne kal'asıdır gördüğün hisar-ı mehib
Şu zirvesinde biten simsiyah ağaç da salib
Murad-ı evveli koynunda gezdiren tepeler
Nasıl rüku ediyor Ferdinand'a bak bu sefer
Bizim midir sanıyorsun şu yükselen bayrak? 
Çeken Savof, Lala Şahin değil kuzum, iyi bak
Edirne! İşte o islamın ahenin suru
Edirne! İşte o şarkın cebin-i mağruru
İkinci aşr-ı tealisi Al-i Osman'ın
Birinci mevki-i feyyazı belki dünyanın
Edirne! İşte o şarkın demir kilidi
Sefil ayakları altında Bulgar'ın şimdi
Muzaffer ordusu hakkıyla(!)   intikam alıyor
Kadın, kız, çoluk, çocuk, erkek ne bulsa parçalıyor
Bu katliama da razıyım ihtiram olsa
Harim-i dini de  geçtik harim-i namusa
Şu dört minareli cami ki yoktu hiçbir eşi
Ki parlıyordu hilalinde sanatın güneşi
Salibi sineye çekmiş de bekliyor.Nevmid",427
Dua,Arif Nihat Asya,"Biz,kısık sesleriz...minareleri,
Sen,ezansız bırakma Allahım!
Ya çağır şurda bal yapanlarını,
Ya kovansız bırakma Allahım!
Mahyasızdır minareler...göğü de,
Kehkeşansız bırakma Allahım!
Müslümanlıkla yoğrulan yurdu,
Müslümansız bırakma Allahım!
Bize güç ver...cihad meydanını,
Pehlivansız bırakma Allahım!
Kahraman bekleyen yığınlarını,
Kahramansız bırakma Allah'ım!
Bilelim hasma karşı koymasını,
Bizi cansız bırakma Allah'ım!
Yarının yollarında yılları da,
Ramazansız bırakma Allah'ım!
Ya dağıt kimsesiz kalan sürünü,
Ya çobansız bırakma Allah'ım!
Bizi sen sevgisiz,susuz,havasız;
Ve vatansız bırakma Allah'ım!
Müslümanlıkla yoğrulan yurdu,
Müslümansız bırakma Allah'ım!",428
Can Dostum,Yusuf Hayaloğlu,"Dün gece düşümde can dostu gördüm
Ulu bir çınardan dal verdi bana
Uzandım yüzüne yüzümü sürdüm
Ben zehir istedim bal verdi bana
Dağ yanarsa yağmur çiser mi dedim
Ten yanarsa rüzgar eser mi dedim
Can yağarsa canan küser mi dedim
Çağırdı yanına el verdi bana
Can dostum dostum kül verdi bana
Ben aşkı sırtıma vurdum da geldim
Hasretin acısını çöl verdi bana
Can dostu görünce eridim bittim
Yüreğime ateş kül verdi bana
Can dostum dostum kül verdi bana
Aşk olmazsa kalem yazar mı dedim
Dost olmazsa gönül tozar mı dedim
Hayaloğlu sana kızar mı dedim
Yanağımdan öptü gül verdi bana
Can dostum dostum gül verdi bana",429
Ihlamurlar Çiçek Açtığı Zaman I,Bahaettin Karakoç,"Dilimde sabah keyfiyle yeni bir umut türküsü
Kar yağmış dağlara, bozulmamış ütüsü
Rahvan atlar gibi ırgalanan gökyüzü
Gözlerimi kamaştırsa da geleceğim sana
Şimdilik bağlayıcı bir takvim sorma bana
-Ihlamurlar çiçek açtığı zaman.
Ay, şafağa yakın bir mum gibi erimeden
Dağlar çivilendikleri yerde çürümeden
Bebekler hayta hayta yürümeden
Geleceğim diyorum, geleceğim sana
Ne olur kesin bir takvim sorma bana 
-Ihlamurlar çiçek açtığı zaman.
Beklesen de olur, beklemesen de 
Ben bir gök kuruşum sırmalı kesende 
Gecesi uzun süren karlar-buzlar ülkesinde 
Hangi ses yürekten çağırır beni sana 
Geleceğim diyorum, takvim sorma bana
-Ihlamur çiçek açtığı zaman.
Bu şiir böyle doğarken dost elin elimdeydi
Sen bir zümrüd-ü ankaydın, elim tüylerine deydi
Sevda duvarını aştım, sendeki bu tılsım neydi? 
Başka bir gezegende de olsan dönüşüm hep sana 
Kesin bir gün belirtemem,  n`olur takvim sorma bana 
-Ihlamurlar çiçek açtığı zaman.
Eski dikişler sökülür de kanama başlarsa yeniden
Yaralarıma en acı tütünleri basacağım ben
Yeter ki bir çağır beni çiçeklendiğin yerden 
Gemileri yaksalar da geleceğim sana 
On iki ayın birisinde, kesin takvim sorma bana 
-Ihlamur çiçek açtığı zaman.
Bak işte, notalar karıştı, ezgiler muhalif 
Hava kurşun gibi ağır, yağmursa arsız 
Ey benim alfabemdeki kadîm Elif
Ne güzellik, ne de tat var baharsız
Güzellikleri yaşamak için geleceğim sana
Geleceğim diyorum, biraz mühlet tanı bana
-Ihlamurlar çiçek açtığı zaman.
Ihlamurlar çiçek açtığı zaman
Ben güneş gibi gireceğim her dar kapıdan 
Kimseye uğramam ben sana uğramadan
Kavlime sâdıkım, sâdıkım sana 
Takvim sorup hudut çizdirme bana 
Ben sana çiçeklerle geleceğim
-Ihlamurlar çiçek açtığı zaman. 
(Uzaklara Türkü)",430
Aynaların Ötesi,Abdurrahim Karakoç,"Her ne kusur varsa, geçen zamanda; 
Suçsuzdur aynalar elâ gözlü yâr.
Mecnunlar Mevlâ’yı bulursa canda, 
El olur Leyla’lar elâ gözlü yâr.
Güzel açar güzelliğin sergisin
Gün ağartır kara saçın örgüsün
Muhabbet faslında ölüm türküsün
Kim söyler, kim çalar elâ gözlü yâr.
Eştikçe iş çıkar işin içinde; 
Gençliği hasret yer sevda göçünde.
Bilmez misin, dört mevsimin üçünde
Kar olur yaylalar, elâ gözlü yâr.
Alı al, yeşili yeşilde ara; 
Ahirete gider kalpteki yara
Ne yapsan bir daha çıkmaz dallara, 
Dökülen ayvalar elâ gözlü yâr.
Vakit dolar, nakit biter kasanda
Sevgi bir kitaptır gönül masanda; 
Okusan da olur, okumasan da...
Kapanır sayfalar elâ gözlü yâr.
(Dosta Doğru)",431
Gece,Victor Hugo,"Günün tükendiği bu saatlerde
Tüm doğa canla başla çalışıyor.
Gece vakti bu yıldızlardan inen
Ne acayip bir korkudur kim bilir? 
Etkisinde kalmış nice gizemin, 
Kaygılı, bir yandan tir tir titriyor, 
Karanlıkta, bilinmeyen bir gücün
Gözlerini üstünde hissediyor.
Ne büyük dehşet kendini tanımak! 
Kaçışı olmadan, durmadan çalışmak, 
Ebediyetin içinde devinen
Varlığın merhametine kalmak! 
Bu nasıl kara, zor bir bulmaca
Amaçlar ve çözümler gizleniyor, 
Birileri titrerken aşağıda, 
Yukarda birileri düş görüyor.
(1888-97) 
Fransızca'dan çeviren: Tozan ALKAN",432
Affet Beni,Ümit Yaşar Oğuzcan,"Bugün bütün iyi kalpliliğim üzerimde
Cümle düşmanlarımı affettim
Yediğim meyvalardan
Kokladığım çiçeklerden af diliyorum
Yerde yürürken gördüğüm 
Sebebsiz kanına girdiğim
....................",433
Giderim,Yusuf Hayaloğlu,"Artık seninle duramam
Bu akşam çıkar giderim
Hesabım kalsın mahşere
Elimi yıkar giderim
Sen zahmet etme yerinden
Gürültü yapmam derinden
Parmaklarım üzerinden
Su gibi akar giderim 
Artık sürersin bir sefa
Ne cismin kaldı ne cefa
Şikayet etmem bu defa
Dişimi sıkar giderim
Bozar mi sandın acılar
Belaya atlar giderim
Kurşun gibi mavzer gibi
Dağ gibi patlar giderim
Kaybetsem bile herşeyi
Bu aşkı yırtar giderim
Sinsice olmaz gidişim
Kapıyı çarpar giderim
Sana yazdığım şarkıyı
Sazımdan söker giderim
Ben ağlayamam bilirsin
Yüzümü döker giderim
Köpeklerimden kuşumdan
Yavrumdan cayar giderim
Senden aldığım ne varsa
Yerine koyar giderim
Ezdirmem sana kendimi
Gövdemi yakar giderim
Beddua etmem üzülme
Kafama sıkar giderim",434
Bir Bayrak Rüzgar Bekliyor!,Arif Nihat Asya,"Şehitler tepesi boş değil, 
Biri var bekliyor. 
Ve bir göğüs, nefes almak için; 
Rüzgar bekliyor. 
Türbesi yakışmış bu kutlu tepeye; 
Yattığı toprak belli, 
Tuttuğu bayrak belli, 
Kim demiş meçhul asker diye? 
Destanını yapmış, kasideye kanmış. 
Bir el ki; ahretten uzanmış, 
Edeple gelip birer birer öpsün diye fâniler! 
Öpelim temizse dudaklarımız, 
Fakat basmasın toprağa temiz değilse ayaklarımız. 
Rüzgarını kesmesin gövdeler 
Sesinden yüksek çıkmasın nutuklar, kasîdeler. 
Geri gitsin alkışlar geri, 
Geri gitsin ellerin yapma çiçekleri! 
Ona oğullardan, analardan dilekler yeter, 
Yazın sarı, kışın beyaz çiçekler yeter! 
Söyledi söyleyenler demin, 
Gel süngülü yiğit alkışlasınlar 
Şimdi sen söyle, söz senin. 
Şehitler tepesi boş değil, 
Toprağını kahramanlar bekliyor! 
Ve bir bayrak dalgalanmak için; 
Rüzgar bekliyor! 
Destanı öksüz, sükûtu derin meçhul askerin; 
Türbesi yakışmış bu kutlu tepeye 
Yattığı toprak belli, 
Tuttuğu bayrak belli, 
Kim demiş meçhul asker diye? ...",435
Hasret 1,Nazım Hikmet Ran,"Yüz yıl oldu yüzünü görmeyeli, 
belini sarmayalı, 
gözünün içinde durmayalı, 
aklının aydınlığına sorular sormayalı, ....................",436
Telefonda Sen,Cemal Safi,"Bundan daha güzel müjde mi olur? 
Merhaba diyorsun telefonda sen,
Sen ki konuşursun derdim mi kalır? 
Nasılsın diyorsun telefonda sen...
Bu gece misketi çaldırmaz mıyım,
Başkenti ayağa kaldırmaz mıyım,
Sesini duyup da çıldırmaz mıyım! 
Delisin, diyorsun telefonda sen...
Sağlığını düşün herşeyden önce,
Kendine iyi bak içme her gece
Seni Seviyorum, hem de delice! 
Bilesin, diyorsun telefonda sen...
Mutluluk ne kadar kolaymış meğer,
Sevginin kadrini bilseydik eğer,
Kim ne derse desin, çekmeye değer,
Çilesin, diyorsun telefonda sen...
Çoktan terk ederdim, bu şehri, çoktan,
Arar diye caydım her yolculuktan,
Dostlar ne âlemde, çoluk çocuktan
Ne haber, diyorsun telefonda sen...
Sabrımı yenmese hasret nöbetim,
Arayıp sormaya yoktu niyetim.
O anda hapşırdın, çok yaşa dedim,
Beraber, diyorsun telefonda sen...
Albümde görünce aklıma esti,
Berbere uğradım dün akşam üstü,
Resmime bakarak saçımı kesti
Severdin, diyorsun telefonda sen...
Sevgi bu, insanı böyle inceltir,
Aklın ermediği yere yöneltir.
Sen de şiirlerinde böyle yüceltir,
Överdin, diyorsun telefonda sen...
Biraz da fedakâr olsaydın keşke,
Ne verdin destanlar yazdığın aşka? 
Ömründen üç gece, hepsi bu, başka? 
Ne verdin, diyorsun telefonda sen...
Hem içme diyorsun, içme de çıldır! 
Hem de kalk şu anda bir kadeh doldur,
Hadi sağlığına şerefe kaldır,
Çınçınlat, diyorsun telefonda sen...
Bu yıl kurak geçti, bahar da yaz da,
Erik de olmadı, dut da, kiraz da,
Neler söylüyorum, lütfen biraz da,
Sen anlat, diyorsun telefonda sen...
Ne söylersen söyle, sen ne dersen de! 
Anlat düşmanımı düşte görsen de! 
Bir sigara yaksam, izin versen de; 
Devam et, diyorsun telefonda sen...
Seni dinlemekten güzel şey mi var? 
Çölde şırıl şırıl akan su kadar,
Yeter konuştuğum, benden bu kadar,
Merhamet, diyorsun telefonda sen...
Gelirsem görünme, kendini gizle,
Seni yağmalarım, yerim bu hızla! 
Yerin kulağı var, açılma fazla,
Orda kal, diyorsun telefonda sen..
Canım ne istiyor şu anda bilsen? 
Ah mümkün olsa da bulup da gelsen,
Kendi ellerinde incecik dilsen,
Portakal, diyorsun telefonda sen...
Afedersin bazen sapıtıyorum,
Böyle saçma sapan lâflar ediyorum,
Kapı çalınıyor, kapatıyorum,
Hoşçakal, diyorsun telefonda sen...",437
Gidersen Yıkılır Bu Kent,Ahmet Telli,"Gidersen yıkılır bu kent, kuşlar da gider 
Bir nehir gibi susarım yüzünün deltasında 
Yanlış adresteydik, kimsesizdik belki 
Sarışın bir şaşkınlık olurdu bütün ışıklar 
Biz mi yalnızdık, durmadan yağmur yağardı 
Üşür müydük nar çiçekleri ürpeririken 
Gidersen kim sular fesleğenleri 
Kuşlar nereye sığınır akşam olunca 
Sessizliği dinliyorum şimdi ve soluğunu 
Sustuğun yerde birşeyler kırılıyor 
Bekleyiş diyorum caddelere, dalıp gidiyorsun 
Adını yazıyorum bütün otobüs duraklarına 
Öpüştüğümüz her yer adınla anılıyor 
Bir de seni ekliyorum susuşlarıma 
Selamsız saygısız yürüyelim sokakları 
Belki bizimle ışıklanır bütün varoşlar 
Geriye mapushaneler kalır, paslı soğuklar 
Adını bilmediğimiz doslar kalır yalnız 
Yüreğimize alırız onları, ısıtırız 
Gardiyan olamayız kendi ömrümüze her akşam 
Gidersen kar yağar avuçlarıma 
Bir ceylan sessizliği olur burada aşklar 
Fiyakalı ışıklar yanıyor reklam panolarında 
Durmadan çoğalıyor faili meçhul cinayetler 
Ve ölü kuşlar satılıyor bütün çiçekçilerde 
Menekşeler nergisler yerine kuş ölüleri 
Bir su sesi bir fesleğen kokusu şimdi uzak 
Yangınları anımsatıyor genç ölülere artık 
Bulvar kahvelerinde arabesk bir duman 
Sis ve intihar çöküyor bütün birahanelere 
Bu kentin künyesi bellidir artık ve susuşun 
İsyan olur milyon kere, hiç bilmez miyim 
Sokul yanıma sen, ellerin sımsıcak kalsın 
Devriyeler basıyor karartılmış evleri yine 
Gidersen yıkılır bu kent kuşlar da ölür 
Bir tufan olurum sustuğun her yerde",438
Emperyal Oteli,Attila İlhan,"ben hiç böylesini görmemiştim
 vurdun kanıma girdin itirazım var
 sımsıcak bir merhaba diyecektim
 başımı usulca dizine koyacaktım
 dört gün dört gece susacaktım
 yağmur sönecekti yanacaktı
 sameland seferden dönecekti
 duvardaki saat duracaktı
 kalbim kendiliğinden duracaktı
 ben hiç böylesini görmemiştim
 vurdun kanıma girdin itirazım var
 emperyal otelinde bu sonbahar
 bu camların nokta nokta hüznü
 bu bizim berheva olmuşluğumuz
 bir nokta bir hat kalmışlığımız
 bu rezil bu çarşamba günü
 intihar etmiş kötümser yapraklar
 öksürüklü aksırıklı bu takvim
 ben hiç böylesini görmemiştim
 vurdun k....................",439
Ahmetler,Orhan Veli Kanık,"Kimimiz Ahmet Bey, 
Kimimiz Ahmet Efendi; 
Ya Ahmet Ağayla Ahmet Beyfendi?",440
Belki Yine Gelirim,Ahmet Telli,"(Cemil Çakır hocaya)
Dudaklarımı kanatırcasına ısırıyorum günlerdir
her sözcük dilimin ucunda küfre dönüyor çünkü
Bir gök gürlese bari diyorum bir sağnak patlasa
bitse bu sessizlik, bu kirli yapışkanlık bitse
ama bir tufan az mı gelir yoksa yine de 
yırtılan ve parçalanan birşeyler olmalı mutlaka
hiç durmadan yırtılan ve parçalanan bir şeyler
Oysa ne kadar sakin bu sokaklar ve bu kent
ne kadar dingin görünüyor bana şimdi gökyüzü
Gidenler nerde kaldılar, özledim gülüşlerini
bir kenti güzelleştiren yalnız onlardı sanki
onlardı çocuklara ve aşka ölesiye bağlanan
kadınları güzelleştiren herhalde onlardı
'Tükürsem cinayet sayılır' diyordu birisi
tükürsek cinayet sayılıyor artık
ama nerde kaldılar, özledim gülüşlerini onların
Uzun uzun bakıyorum kıvrılan sokaklara
tek yaprak bile kımıldamıyor nedense
ve tek tek söndürüyor ışıklarını varoşlar
alnımı kırık bir cama yaslıyorum, kanıyor
kanımın pıhtılarında güllerin serinliği
ve fakat bir cellat gibi yetişiyor pusudaki
Dilimin ucunda küfre dönüyor her sözcük
Yaşamak neleri öğretiyor, düşünüyorum
okuduğum bütün kitaplar paramparça
çıkıp dolaşıyorum akşamüstleri bir başıma
bir uçtan bir uca yalnızlıklar oluyor kent
bulvar kahvelerinin önünden geçiyorum
sırnaşık aydınlar, arabesk hüzünler
bir gazete sayfasında sereserpe bir yosma
Sesler gittikçe azalıyor, kuşlar azalıyor
ve ne zaman yolum düşse vurulduğun yere
kızgın bir halka oluyor boynumda o sokak
Hüznü yalnız atlarımız duyuyor artık
biz çoktan unutmuşuz böyle şeyleri
ama içimde bir sırtlanın dalgın duruşu
ve dilimin ucunda küfre dönüyor her sözcük
İçimde zaptedilmez bir kırma isteği
dizginlerini koparan bir at sanki bu
soluk soluğa kalıyorum her sonbahar
ve sevgilim ne zaman hoşgörülü olsa
bir yolculuk düşüyor aklıma, gidiyorum
bütün gençliğim böylece geçip gitti işte
ama hala bir şeyler var vazgeçemediğim
Hangi duvar yıkılmaz sorular doğruysa
birgün gelirsek hangi kent güzelleşmez
şiirlerim bir dostun vurulduğu yerde yakıldı
geri almıyorum külleri yangınlar çıksın diye
Devriyeler çıkart şimdi, bütün ışıklarını söndür
sorduğum hiçbir soruyu geri almıyorum ey sokak
ve dilimin ucunda küfre dönüyor her sözcük
Dudaklarımı kanatırcasına ısırıyorum günlerdir
bir gök gürlese bari diyorum bir sağnak patlasa
bitse bu kirli ve yapışkan sessizlik, hiç gitmesem
oysa ne kadar sakin sokaklar, kent ve bütün yeryüzü
ipince bir su gibi sızıyorum gecenin tenha göğüne
sessizce çekip gidiyorum şimdi, sessiz ve kimliksiz
Belki yine gelirim, sesime ses veren olursa bir gün",441
Yaşamaya Dair,Nazım Hikmet Ran,"1
Yaşamak şakaya gelmez, 
büyük bir ciddiyetle yaşayacaksın
bir sincap gibi mesela, 
yani, yaşamanın dışında ve ötesinde hiçbir şey beklemeden, 
yani bütün işin gücün yaşamak olacak.
Yaşamayı ciddiye alacaksın, 
yani o derecede, öylesine ki, 
mesela, kolların bağlı arkadan, sırtın duvarda, 
yahut kocaman gözlüklerin, 
beyaz gömleğinle bir laboratuarda
insanlar için ölebileceksin, 
hem de yüzünü bile görmediğin insanlar için, 
hem de hiç kimse seni buna zorlamamışken, 
hem de en güzel en gerçek şeyin
yaşamak olduğunu bildiğin halde.
Yani, öylesine ciddiye alacaksın ki yaşamayı, 
yetmişinde bile, mesela, zeytin dikeceksin, 
hem....................",442
"Dostlar, Gün Bugün!",Mevlana Celaleddin Rumi,"Toy, düğün kumaş oldu, ölçüldü biçildi.
Toy, düğün elbise oldu uzun boya.
Toylar, düğünler tam bizim için,
toyumuz, düğünümüz kutlu olsun dünyaya.
Şekere eş oldu dudu kuşu,
zühre eş oldu aya.
Toylar, düğünler tam bizim için,
toyumuz, düğünümüz kutlu olsun dünyaya.
Bugün hayat öylesine rahat.
Bugün yürekler öylesine ferah.
Bugün insanlar öylesine kardeş.
Toylar, düğünler tam bizim için,
toyumuz, düğünümüz kutlu olsun dünyaya.
Ey şehrimizi aydınlatan sultan,
güvey oluyorsun bir güzele bu gece.
Ne de güzel yürüyorsun mahallemizde salına salına,
ne de güzel akıyorsun deremize çağlaya çağlaya,
ey bizi unutmayan, bizi arayan dost,
ey bizim suyumuz, ırmağımız.
Toylar, düğünler tam bizim için,
toyumuz, düğünümüz kutlu olsun dünyaya.
Dostlarım, gün bugün,
oynayın, raksedin, dönün.
Bir bölük halk deniz gibi köpürüyor,
bir bölük halk dalga dalga secdede.
Bir bölük halk kılıç gibi savaşıyor,
bir bölük halk kanımızı içmede.
İşte girdi gerdeğe nergisle gül,
işte astım davulumu boynuma.
Toylar, düğünler tam bizim için,
toyumuz, düğünümüz kutlu olsun dünyaya.",443
Bir Acayip Duygu...,Nazım Hikmet Ran,"«Mürdüm eriği 
çiçek açmıştır. 
— ilkönce zerdali çiçek açar 
mürdüm en sonra — 
Sevgilim, 
çimenin üzerine 
diz üstü oturalım 
karşı-be-karşı. 
Hava lezzetli ve aydınlık 
— fakat iyice ısınmadı daha — 
çağlanın kabuğu 
yemyeşil tüylüdür 
henüz yumuşacık... 
Bahtiyarız 
yaşayabildiğimiz için. 
....................",444
Neler Mi İstiyorum?,Victor Hugo,"Neler mi istiyorum uyaninca her sabah
Ne bahardan bir nese, ne de yazdan bir cicek
Siyah, siyah cok siyah kadife kadar siyah
Bir sacin buklesini bana kim getirecek
Neler mi istiyorum gurbette aksamlardan
Ne ruzgardan bir buse, ne de bir pembe kelebek
Derin, derin cok derin, ufuklar kadar derin
Bir cift gözün rengini bana kim getirecek",445
"Beni Düşün, Unutma",Yusuf Hayaloğlu,"Ay doğarken bir söğüdün ardından
Göl yüzünde sisli bir esinti ile
Akşamın göğsüne hüzün serperek
Ve Yağmurdan geceye çiçekli perdeler çekerek
Beni düşün, Beni düşün, UNUTMA
En umarsız en umutsuz günümde
Bağrına bir yumruk çökeldiğinde
Ve dağların mazlum ateşi
O güzelim saçlarına cayır cayır yanıp ulaştığında 
Beni düşün, Beni düşün, UNUTMA
Beni düşün bir kavganın içinde
Helal bir ekmeğin peşinde
Ve kurtlardan arta kalmış yüreğimin
Can çekişen o son parçasınıda, sana sakladığımı bil
Bil ki haykırırcasına bu esir gövdemi yakarcasına
Kavuşmak için o serin bağrına
Ateşten bir yol arıyorum
Kar yağarken mor dağların ucundan
Sol yerinde sessiz bir inilti ile
Yastığın yüzüne yaşlar dökerek
Ve Akşamdan gizlice bir ah çekerek
Beni düşün, Beni düşün, UNUTMA
Kan kızılı bir gelincik seherinde
Sırtıma kahbe bir hançer indiğinde
Ve bu gencecik ve bu hemencecik ölüm
Çığırtken bir gazete başlığında
Çığlık Çığlık sana kavuştuğunda
Beni düşün, Beni düşün, UNUTMA
Beni düşün şehre her yağmur yağdığında
Islak ve kırılgan bir türkünün içinde
Göğsünden dudaklarına, doğru sancılı bir isyan kabardığında
Bastırarak kalbini avuçlarınla
Sesini okşadığımı bil
Bil ki yalvarırcasına, uzayan yollara dağılırcasına
Sonsuz bir mahşerin ortasında
Bir zemzem suyu gibi seni seni özlüyorum",446
